Date,Time,Electricity,Steam,Water
2023-10-11,14:13,4036,43796,162
2023-10-11,14:14,4036,43796,162
2023-10-11,15:00,4037,42580,132
2023-10-11,15:15,4012,44431,173
2023-10-11,15:30,3996,42544,143
2023-10-11,15:42,3996,42544,143
2023-10-11,15:55,3918,41350,129
2023-10-11,16:19,0,0,126
2023-10-11,16:38,3784,40574,120
2023-10-11,16:53,3673,42223,125
2023-10-11,17:16,3707,39922,126
2023-10-11,17:38,3702,41363,109
2023-10-11,17:53,3702,41363,109
2023-10-11,18:17,3623,44008,149
2023-10-11,18:39,3552,44585,130
2023-10-11,18:54,3539,43336,136
2023-10-11,19:18,3374,46457,136
2023-10-11,19:38,3395,43903,112
2023-10-11,19:53,3332,43942,135
2023-10-11,21:16,3129,46124,123
2023-10-11,22:04,3098,42865,124
2023-10-11,22:28,2993,40922,123
2023-10-11,22:42,3017,41889,118
2023-10-11,22:55,2989,42462,119
2023-10-11,23:18,2871,40181,134
